Timestamp,"By clicking ""I agree"" below you are indicating that you are at least 18 years of age, have read the above, and agree to participate in this research activity. *","Which of the following statements comes closest to your view, even if neither is exactly right? ","In general, would you say that the content posted on social media provides an accurate picture of how society as a whole feels about important issues?", How FAIR do you think this type of program would be to consumers?,Do you think it is acceptable or not for the criminal justice system to use this type of program?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,Do you think it is acceptable or not for companies to use this type of program when hiring job candidates?,"Paying attention and reading the instructions carefully is critical. If you are paying attention, please choose Silver below.",What is your MTurk Worker's ID? *,What is your gender?,What is your age (in years)?,What is the highest degree or level of school you have completed?,"Are you of Hispanic, Latino, or Spanish origin such as Mexican, Chicano, Puerto Rican or Cuban?",Which of the following describes your race and/or ethnic background? Select one or more.,In what state do you live?,Thank you for your participation in this study.Remember this validation code: 117766. Write this down. You will need to enter your validation code into the MTurk HIT to receive payment.
6/18/2020 12:03:37,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,A110KENBXU7SUJ,Male,47,High school graduate (including GED or alternative credential),No,White,Pennsylvania,117766
6/18/2020 12:05:08,I agree,It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Not Acceptable,Silver,A3HZFB2JLF3JMY,Male,32,High school graduate (including GED or alternative credential),No,White,Rhode Island,117766
6/18/2020 12:07:52,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,AWRA3CW59FGCY,Female,54,"Bachelor's degree (for example: BA, BS)",No,Black or African American,New Mexico,117766
6/18/2020 12:08:17,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,A2JJF5OFND2KL5,Male,29,"Some college or Associate's Degree (for example: AA, AS)",No,Black or African American,Tennessee,117766
6/18/2020 12:09:30,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not fair at all,Not acceptable,Acceptable,Not Acceptable,Silver,AFM65NU0UXIGP,Male,32,"Some college or Associate's Degree (for example: AA, AS)",No,White,Oregon,117766
6/18/2020 12:12:34,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A1KRCFMNHO3MQT,Male,46,"Bachelor's degree (for example: BA, BS)",Yes,White,California,117766
6/18/2020 12:17:28,I agree,Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Acceptable,Silver,A3W4XLAHW96WQI,Female,30,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,Tennessee,117766
6/18/2020 12:18:21,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,A32Y6FARQUW4Y,Female,23,"Some college or Associate's Degree (for example: AA, AS)",No,Asian or Asian-American,Texas,117766
6/18/2020 12:21:27,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,A2MBONFYCEPP8K,Female,38,High school graduate (including GED or alternative credential),No,Black or African American,New York,117766
6/18/2020 12:21:39,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Acceptable,Not acceptable,Acceptable,Silver,A9KOG4O3UY5AX,Male,35,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,Connecticut,
6/18/2020 12:22:07,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,A2C3NX6FY216V5,Male,26,"Bachelor's degree (for example: BA, BS)",Yes,White,Texas,117766
6/18/2020 12:22:19,I agree,Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Not Acceptable,Silver,A12FTSX85NQ8N9,Male,28,"Bachelor's degree (for example: BA, BS)",No,White,Kentucky,117766
6/18/2020 12:23:49,I agree,It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,A1VGQQPI02FE31,Male,40,"Bachelor's degree (for example: BA, BS)",No,White,North Carolina,117766
